"","cl108_e49_NA_L4","cl1_e421_Cst3_L4","cl163_e33_Nxf7_L4","cl5_i231_Nov_Vip","cl151_i35_Gpr63_Lamp5","cl70_e70_Abca12_L5_NP","cl97_i57_Pdyn_Sst","cl198_i24_Bard1_Vip","cl1008_e40_NA_L5_IT","cl132_i43_Fbn1_Vip","cl38_e104_Chn2_L5_NP","cl1011_n13_Enpp6_Oligo","cl106_e50_Dlc1_L6_CT","cl126_e44_Traf5_L6_CT","cl112_e48_Slc22a1_L6_IT","cl61_e77_Mir221_L6_IT","cl8_e168_Adam8_L6_IT","cl32_n118_Opalin_Oligo","cl84_i62_NA_Lamp5","cl26_i124_Ccser1_Vip","cl114_i47_Tbc1d2b_Lamp5","cl54_i85_Thbs3_Vip","cl63_i73_Tac2_Vip","cl72_i68_Bach2_Lamp5","cl12_i155_Crabp1_Sncg","cl145_e37_Zfat_L4","cl148_e36_Mmel1_L4","cl40_i103_Il7_Pvalb","cl150_e36_Car3_L6_IT","cl10_i163_Tacstd2_Sst","cl9_i166_Tll1_Pvalb","cl22_i134_Esrrg_Pvalb","cl119_i46_Ccdc38_Pvalb","cl1007_i56_NA_Pvalb","cl185_i27_Slc4a7_Pvalb","cl1005_i24_Pcdhb20_Sst","cl1004_i65_NA_Sst","cl58_i81_Tmem255a_Sst","cl85_i60_Snai2_Lamp5","cl29_i121_Acbd7_Sst","cl1002_i29_Nts_Sst","cl52_i88_TrnI_Pvalb","cl113_i48_Dock5_Lamp5","cl93_i58_Sln_Lamp5","cl3_i309_Cpne6_Lamp5","cl170_i32_Rps27rt_Vip","cl107_i50_Gpr101_Sst","cl147_i37_Clrn1_Sncg","cl197_e24_Cfap54_L23_IT","cl181_e28_Nfkbid_L23_IT","cl6_e204_Exosc4_L23_IT","cl71_e68_Mir153_L23_IT","cl35_i106_Bcl9_Sst","cl120_i46_Cers6_Sst","cl78_e65_NA_L5_IT","cl213_i22_Dnhd1_Pvalb","cl1006_i68_Hpse_Sst","cl116_n47_Lgr6_Astro","cl16_n148_Cml3_Astro","cl177_n30_Slc8b1_Astro","cl50_i90_Agt_Lamp5","cl138_i41_Has2_Lamp5","cl36_i104_Rspo4_Vip","cl149_i36_Aqp6_Vip","cl23_i132_Myh13_Sst","cl135_i42_Ostn_Pvalb","cl155_i35_Tubb6_Vip","cl127_i44_Nlrx1_Sst","cl18_i146_Car4_Vip","cl233_i21_Grem2_Lamp5","cl174_e30_Zfp433_L4","cl4_e253_Lgmn_L5_IT","cl179_e29_Cldn23_L5_PT","cl66_e71_Serpinb11_L6b","cl167_e33_Efcc1_L6_CT","cl21_i137_Thumpd2_Sst","cl37_e104_Mapk13_L6b","cl231_i21_Gramd1c_Vip","cl89_i60_Clnk_Lamp5","cl221_i22_NA_Vip","cl34_i116_Nr2e1_Vip","cl188_i26_Cgn_Pvalb","cl13_n153_Ctla2a_Endo","cl214_e22_Rttn_L6_CT","cl161_i34_Spsb2_Vip","cl82_i63_NA_Vip","cl136_i41_Grtp1_Lamp5","cl207_i23_Phf8_Sst","cl180_i29_Nr1h4_Sncg","cl57_i83_Myl1_Vip","cl1003_i21_Sp7_Lamp5","cl90_i59_Rom1_Pvalb","cl95_i57_Atp12a_Lamp5","cl1014_n8_Atp13a5_Peri","cl123_e45_Zbtb2_L23_IT","cl210_e22_Spaca6_L23_IT","cl62_e76_Apaf1_L23_IT","cl211_e22_Ascl5_L23_IT","cl111_e48_Zar1l_L23_IT","cl226_e21_TrnL1_L23_IT","cl102_e53_Tmem74b_L23_IT","cl186_e26_Zfp882_L4","cl196_e24_Zfp781_L4","cl142_e38_Mamdc2_L4","cl48_e91_Csgalnact1_L6_IT","cl17_e147_Gng12_L6_CT","cl81_e63_Msl2_L6_IT","cl2_e381_Rgs2_L6_IT","cl39_i103_Rnf138rt1_Vip","cl101_e53_Zmiz1os1_L6_IT","cl110_i49_Mir3059_Sst","cl158_i35_Cyp2s1_Sst","cl242_i19_Emilin2_Sst","cl153_i35_Mir384_Pvalb","cl232_i21_Spc25_Sst","cl164_i33_Adra2a_Vip","cl131_i43_Scgn_Meis2","cl91_i59_Slc18a3_Vip","cl238_i20_Cldn1_Lamp5","cl234_i21_Srd5a1_Lamp5","cl192_i26_Trim71_Sst","cl65_i72_Tmem223_Lamp5","cl41_n102_Selplg_Macrophage","cl249_i20_Tacr3_Sst","cl76_e66_Pou2f2_L6_IT","cl218_e22_P4ha3_L6_IT","cl156_e35_Gpr139_L6_CT","cl172_e31_Htr6_L6_IT","cl187_e26_Teddm2_L6_CT","cl209_e22_Nphs1_L6_IT","cl27_e121_Gadd45a_L6_CT","cl152_e35_Elf2_L5_IT","cl46_e95_Npc1l1_L5_IT","cl20_e142_Rap2a_L5_PT","cl228_e21_Rev1_L6_CT","cl223_i22_Rxfp3_Sst","cl206_i23_Dmrt2_Sst","cl240_i20_Sall1_Vip","cl11_i160_Pitpnc1_Sst","cl125_e44_Agmat_L23_IT","cl88_i60_NA_Lamp5","cl69_e70_Depdc7_L5_PT","cl44_e96_Chrna6_L5_PT","cl49_i90_Gpr149_Pvalb","cl143_e38_Tmem136_L6_IT","cl74_e68_Napsa_L6b","cl103_e53_NA_L23_IT","cl137_i41_NA_Lamp5","cl92_n59_Chil1_Astro","cl115_i47_Rny1_Pvalb","cl1001_e62_Cryba2_L5_IT","cl191_e26_Chadl_L6_IT","cl248_i20_Lsmem1_Sst","cl53_i85_Dclk2_Pvalb","cl239_i20_Casp9_Pvalb","cl77_n66_Rlbp1_Oligo","cl94_e57_Cyp39a1_L4","cl217_e22_Dnah14_L6_IT","cl45_i95_Gsx2_Vip","cl130_n43_Nat8_Astro","cl144_e37_Zranb3_L4","cl227_i21_Pla2g4e_Lamp5","cl246_i20_Igsf1_Sst","cl1009_e15_Hsd17b2_L6b","cl1015_e8_Lhx1os_CR","cl178_i30_Sesn3_Lamp5","cl236_e21_Arg2_L5_NP","cl162_e33_Gpr52_L6_IT","cl205_e23_Zfp28_L5_NP","cl146_e37_Rspo1_L4","cl247_e20_Pah_L5_IT","cl212_i22_Cemip_Pvalb","cl241_i20_Fv1_Pvalb","cl182_i28_Snord42b_Pvalb","cl189_e26_C1ql2_L5_PT","cl190_e26_Cdh15_L5_PT","cl219_n22_Pdzph1_Astro","cl160_i34_NA_Pvalb","cl79_i65_Tnni3k_Sst","cl169_i32_Wif1_Pvalb","cl184_n28_Pf4_Macrophage","cl202_i24_Ccdc121_Sst","cl166_i33_Has2os_Sst","cl83_n62_Ccl19_VLMC","cl165_n33_Kdelr3_VLMC","cl230_i21_Brca2_Pvalb","cl1012_n5_Gkn3_Endo","cl121_e46_Psd4_L6b","cl98_n56_Cnn1_SMC","cl1010_n5_Fgfbp1_VLMC","cl128_n44_ATP8_SMC","cl1013_n4_Slc26a2_VLMC"
"4904",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.96681093978727,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.06286709413602,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.89106304767069,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.436095556411035,-6,-6,-6,-6,-6,-6
"3559",-6,-6,-6,-6,-6,-6,-6,-6,0.923690666641351,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.0000000012,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.96324090605104,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2033",-6,-4.5489631907,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.94579748110387,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.367443566480695,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.95957602066309,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"5549",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.10514702591102,-6,-6,-4.93370781007951,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-3.23898286626223,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"5256",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.94162278534129,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.96681093978727,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.45709116096151,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-2.32455177476578,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.62,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2761",-6,-6,-6,-6,-6,-6,-4.13921232792454,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.27019950895065,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-2.0000000104,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.95957602066309,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.92758662015146,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"947",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.95957602066309,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.81214607631663,-6,-6,-3.2897871173577,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-2.19607588642539,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3996",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.88314034934671,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.34070208934634,-6,-4.31,-6,-6,-6,-6,-6,-6,-4.21831107983292,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.96324090605104,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2350",-6,-4.89233565797665,-4.77203219708785,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.24,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.0000000003,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.27217396750963,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.96324090605104,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3162",-6,-6,-4.06,-6,-6,-6,-6,-6,-6,-6,-4.08229613786552,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.96382986893585,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.1640959327,-6,-4.42568922748834,-6,-6,-6,-6,-6,-4.95957602066309,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"5522",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.351090464499086,-6,-4.97027281669395,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.0017744713,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"2618",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.21481357515327,-4.0146811434,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.96681093978727,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.39018822557027,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.91607762477103,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.03,-6,-6,-6,-6,-6,-6
"367",-6,-1.8921968324437,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-2.82853618157593,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.03,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3056",-6,-3.89008743527711,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.69528776675486,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.2678133476746,-6,-6,-4.47,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.0245864905,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3527",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.066880965444,-6,-6,-1.21857257415758,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.1171746655,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.96324090605104,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"5764",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.97027281669395,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.96710008063969,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.08,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.1369534111948,-6,-6,-6,-4.6189783954,-6,-4.13080748400719,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"1630",-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-2.28099262847206,-6,-6,-6,-6,-6,-4.97695956399986,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.96681093978727,-6,-4.84060567960187,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-4.0580747144,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
